symptoms,disease,precautions,medicines
"fever,cough,sore throat,body ache,fatigue,chills","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,cough,sore throat,headache,runny nose,chills","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,cough,body ache,fatigue,headache","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,cough,chills,fatigue","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"fever,sore throat,body ache,headache","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"cough,fatigue,chills,runny nose","Common Flu (Influenza)","Rest and stay hydrated;Take over-the-counter flu medication;Avoid close contact with others;Cover your mouth when coughing;Consult a doctor if symptoms persist beyond 7 days","Paracetamol;Ibuprofen;Cetirizine;Dextromethorphan;Vitamin C"
"runny nose,sneezing,sore throat,mild cough,congestion","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"runny nose,sneezing,congestion,watery eyes,mild cough","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"sneezing,sore throat,congestion,runny nose,watery eyes","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"sneezing,runny nose,congestion","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"sore throat,runny nose,mild cough,sneezing","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"congestion,watery eyes,sneezing,sore throat","Common Cold","Get plenty of rest;Drink warm fluids;Use saline nasal drops;Gargle with warm salt water;Wash hands frequently","Antihistamines;Nasal decongestant;Cough syrup;Throat lozenges;Saline spray"
"fever,dry cough,loss of taste,loss of smell,shortness of breath,fatigue","COVID-19 (Suspected)","Isolate immediately and get tested;Monitor oxygen levels regularly;Stay hydrated and take paracetamol for fever;Seek emergency care if breathing becomes difficult;Inform close contacts about potential exposure","Paracetamol;Dolo 650;ORS;Zinc supplements;Vitamin D"
"fever,dry cough,loss of taste,loss of smell,body ache,fatigue","COVID-19 (Suspected)","Isolate immediately and get tested;Monitor oxygen levels regularly;Stay hydrated and take paracetamol for fever;Seek emergency care if breathing becomes difficult;Inform close contacts about potential exposure","Paracetamol;Dolo 650;ORS;Zinc supplements;Vitamin D"
"fever,dry cough,shortness of breath,fatigue,body ache,chills","COVID-19 (Suspected)","Isolate immediately and get tested;Monitor oxygen levels regularly;Stay hydrated and take paracetamol for fever;Seek emergency care if breathing becomes difficult;Inform close contacts about potential exposure","Paracetamol;Dolo 650;ORS;Zinc supplements;Vitamin D"
"loss of taste,loss of smell,fever,fatigue","COVID-19 (Suspected)","Isolate immediately and get tested;Monitor oxygen levels regularly;Stay hydrated and take paracetamol for fever;Seek emergency care if breathing becomes difficult;Inform close contacts about potential exposure","Paracetamol;Dolo 650;ORS;Zinc supplements;Vitamin D"
"dry cough,fever,shortness of breath,loss of taste","COVID-19 (Suspected)","Isolate immediately and get tested;Monitor oxygen levels regularly;Stay hydrated and take paracetamol for fever;Seek emergency care if breathing becomes difficult;Inform close contacts about potential exposure","Paracetamol;Dolo 650;ORS;Zinc supplements;Vitamin D"
"fever,body ache,loss of smell,dry cough,chills","COVID-19 (Suspected)","Isolate immediately and get tested;Monitor oxygen levels regularly;Stay hydrated and take paracetamol for fever;Seek emergency care if breathing becomes difficult;Inform close contacts about potential exposure","Paracetamol;Dolo 650;ORS;Zinc supplements;Vitamin D"
"headache,nausea,sensitivity to light,blurred vision,dizziness","Migraine","Rest in a dark quiet room;Apply cold compresses to your forehead;Stay hydrated and avoid triggers;Take prescribed migraine medication early;Maintain a regular sleep schedule","Sumatriptan;Ibuprofen;Aspirin;Ergotamine;Domperidone"
"headache,nausea,sensitivity to light,vomiting,dizziness","Migraine","Rest in a dark quiet room;Apply cold compresses to your forehead;Stay hydrated and avoid triggers;Take prescribed migraine medication early;Maintain a regular sleep schedule","Sumatriptan;Ibuprofen;Aspirin;Ergotamine;Domperidone"
"severe headache,nausea,blurred vision,sensitivity to light","Migraine","Rest in a dark quiet room;Apply cold compresses to your forehead;Stay hydrated and avoid triggers;Take prescribed migraine medication early;Maintain a regular sleep schedule","Sumatriptan;Ibuprofen;Aspirin;Ergotamine;Domperidone"
"headache,sensitivity to light,nausea","Migraine","Rest in a dark quiet room;Apply cold compresses to your forehead;Stay hydrated and avoid triggers;Take prescribed migraine medication early;Maintain a regular sleep schedule","Sumatriptan;Ibuprofen;Aspirin;Ergotamine;Domperidone"
"severe headache,dizziness,vomiting,blurred vision","Migraine","Rest in a dark quiet room;Apply cold compresses to your forehead;Stay hydrated and avoid triggers;Take prescribed migraine medication early;Maintain a regular sleep schedule","Sumatriptan;Ibuprofen;Aspirin;Ergotamine;Domperidone"
"headache,nausea,dizziness,sensitivity to light,vomiting","Migraine","Rest in a dark quiet room;Apply cold compresses to your forehead;Stay hydrated and avoid triggers;Take prescribed migraine medication early;Maintain a regular sleep schedule","Sumatriptan;Ibuprofen;Aspirin;Ergotamine;Domperidone"
"nausea,vomiting,diarrhea,stomach pain,fever,cramps","Gastroenteritis","Stay hydrated with ORS or clear fluids;Eat bland foods (BRAT diet);Avoid dairy and fatty foods;Rest and avoid strenuous activity;Seek medical help if symptoms last more than 3 days","ORS;Ondansetron;Loperamide;Probiotics;Zinc tablets"
"nausea,vomiting,diarrhea,stomach pain,dehydration,cramps","Gastroenteritis","Stay hydrated with ORS or clear fluids;Eat bland foods (BRAT diet);Avoid dairy and fatty foods;Rest and avoid strenuous activity;Seek medical help if symptoms last more than 3 days","ORS;Ondansetron;Loperamide;Probiotics;Zinc tablets"
"diarrhea,stomach pain,fever,nausea,vomiting","Gastroenteritis","Stay hydrated with ORS or clear fluids;Eat bland foods (BRAT diet);Avoid dairy and fatty foods;Rest and avoid strenuous activity;Seek medical help if symptoms last more than 3 days","ORS;Ondansetron;Loperamide;Probiotics;Zinc tablets"
"nausea,stomach pain,diarrhea,cramps","Gastroenteritis","Stay hydrated with ORS or clear fluids;Eat bland foods (BRAT diet);Avoid dairy and fatty foods;Rest and avoid strenuous activity;Seek medical help if symptoms last more than 3 days","ORS;Ondansetron;Loperamide;Probiotics;Zinc tablets"
"vomiting,diarrhea,fever,stomach pain,dehydration","Gastroenteritis","Stay hydrated with ORS or clear fluids;Eat bland foods (BRAT diet);Avoid dairy and fatty foods;Rest and avoid strenuous activity;Seek medical help if symptoms last more than 3 days","ORS;Ondansetron;Loperamide;Probiotics;Zinc tablets"
"stomach pain,cramps,nausea,fever,vomiting","Gastroenteritis","Stay hydrated with ORS or clear fluids;Eat bland foods (BRAT diet);Avoid dairy and fatty foods;Rest and avoid strenuous activity;Seek medical help if symptoms last more than 3 days","ORS;Ondansetron;Loperamide;Probiotics;Zinc tablets"
"sneezing,runny nose,itchy eyes,watery eyes,congestion,itchy throat","Allergic Rhinitis","Avoid known allergens;Use antihistamine medication;Keep windows closed during high pollen seasons;Use air purifiers indoors;Rinse nasal passages with saline solution","Cetirizine;Loratadine;Fluticasone nasal spray;Montelukast;Azelastine"
"sneezing,runny nose,itchy eyes,congestion,itchy throat","Allergic Rhinitis","Avoid known allergens;Use antihistamine medication;Keep windows closed during high pollen seasons;Use air purifiers indoors;Rinse nasal passages with saline solution","Cetirizine;Loratadine;Fluticasone nasal spray;Montelukast;Azelastine"
"sneezing,watery eyes,itchy eyes,runny nose,congestion","Allergic Rhinitis","Avoid known allergens;Use antihistamine medication;Keep windows closed during high pollen seasons;Use air purifiers indoors;Rinse nasal passages with saline solution","Cetirizine;Loratadine;Fluticasone nasal spray;Montelukast;Azelastine"
"itchy eyes,sneezing,runny nose,itchy throat","Allergic Rhinitis","Avoid known allergens;Use antihistamine medication;Keep windows closed during high pollen seasons;Use air purifiers indoors;Rinse nasal passages with saline solution","Cetirizine;Loratadine;Fluticasone nasal spray;Montelukast;Azelastine"
"congestion,sneezing,watery eyes,itchy throat,runny nose","Allergic Rhinitis","Avoid known allergens;Use antihistamine medication;Keep windows closed during high pollen seasons;Use air purifiers indoors;Rinse nasal passages with saline solution","Cetirizine;Loratadine;Fluticasone nasal spray;Montelukast;Azelastine"
"itchy eyes,watery eyes,sneezing,congestion","Allergic Rhinitis","Avoid known allergens;Use antihistamine medication;Keep windows closed during high pollen seasons;Use air purifiers indoors;Rinse nasal passages with saline solution","Cetirizine;Loratadine;Fluticasone nasal spray;Montelukast;Azelastine"
"persistent cough,mucus production,chest discomfort,fatigue,shortness of breath","Bronchitis","Avoid smoking and secondhand smoke;Use a humidifier to moisten air;Drink plenty of fluids;Take prescribed cough suppressants;Rest and avoid cold air exposure","Ambroxol;Dextromethorphan;Salbutamol inhaler;Acetylcysteine;Azithromycin"
"persistent cough,mucus production,chest discomfort,mild fever,fatigue","Bronchitis","Avoid smoking and secondhand smoke;Use a humidifier to moisten air;Drink plenty of fluids;Take prescribed cough suppressants;Rest and avoid cold air exposure","Ambroxol;Dextromethorphan;Salbutamol inhaler;Acetylcysteine;Azithromycin"
"persistent cough,shortness of breath,chest discomfort,fatigue,mucus production","Bronchitis","Avoid smoking and secondhand smoke;Use a humidifier to moisten air;Drink plenty of fluids;Take prescribed cough suppressants;Rest and avoid cold air exposure","Ambroxol;Dextromethorphan;Salbutamol inhaler;Acetylcysteine;Azithromycin"
"persistent cough,mucus production,chest discomfort","Bronchitis","Avoid smoking and secondhand smoke;Use a humidifier to moisten air;Drink plenty of fluids;Take prescribed cough suppressants;Rest and avoid cold air exposure","Ambroxol;Dextromethorphan;Salbutamol inhaler;Acetylcysteine;Azithromycin"
"chest discomfort,fatigue,persistent cough,mild fever","Bronchitis","Avoid smoking and secondhand smoke;Use a humidifier to moisten air;Drink plenty of fluids;Take prescribed cough suppressants;Rest and avoid cold air exposure","Ambroxol;Dextromethorphan;Salbutamol inhaler;Acetylcysteine;Azithromycin"
"mucus production,shortness of breath,persistent cough,fatigue","Bronchitis","Avoid smoking and secondhand smoke;Use a humidifier to moisten air;Drink plenty of fluids;Take prescribed cough suppressants;Rest and avoid cold air exposure","Ambroxol;Dextromethorphan;Salbutamol inhaler;Acetylcysteine;Azithromycin"
"high fever,severe cough,chest pain,shortness of breath,fatigue,chills","Pneumonia (Suspected)","Seek immediate medical attention;Complete the full course of prescribed antibiotics;Rest and avoid physical exertion;Stay hydrated and monitor temperature;Get a follow-up chest X-ray as advised","Amoxicillin;Azithromycin;Levofloxacin;Paracetamol;Mucolytic agents"
"high fever,severe cough,chest pain,shortness of breath,sweating","Pneumonia (Suspected)","Seek immediate medical attention;Complete the full course of prescribed antibiotics;Rest and avoid physical exertion;Stay hydrated and monitor temperature;Get a follow-up chest X-ray as advised","Amoxicillin;Azithromycin;Levofloxacin;Paracetamol;Mucolytic agents"
"high fever,chest pain,shortness of breath,chills,fatigue,severe cough","Pneumonia (Suspected)","Seek immediate medical attention;Complete the full course of prescribed antibiotics;Rest and avoid physical exertion;Stay hydrated and monitor temperature;Get a follow-up chest X-ray as advised","Amoxicillin;Azithromycin;Levofloxacin;Paracetamol;Mucolytic agents"
"high fever,severe cough,chest pain,chills","Pneumonia (Suspected)","Seek immediate medical attention;Complete the full course of prescribed antibiotics;Rest and avoid physical exertion;Stay hydrated and monitor temperature;Get a follow-up chest X-ray as advised","Amoxicillin;Azithromycin;Levofloxacin;Paracetamol;Mucolytic agents"
"chest pain,shortness of breath,high fever,sweating,fatigue","Pneumonia (Suspected)","Seek immediate medical attention;Complete the full course of prescribed antibiotics;Rest and avoid physical exertion;Stay hydrated and monitor temperature;Get a follow-up chest X-ray as advised","Amoxicillin;Azithromycin;Levofloxacin;Paracetamol;Mucolytic agents"
"severe cough,high fever,chills,shortness of breath,chest pain","Pneumonia (Suspected)","Seek immediate medical attention;Complete the full course of prescribed antibiotics;Rest and avoid physical exertion;Stay hydrated and monitor temperature;Get a follow-up chest X-ray as advised","Amoxicillin;Azithromycin;Levofloxacin;Paracetamol;Mucolytic agents"
"burning urination,frequent urination,lower abdominal pain,cloudy urine,fever","Urinary Tract Infection (UTI)","Drink plenty of water;Take prescribed antibiotics as directed;Avoid caffeine and alcohol;Maintain proper hygiene;Consult a doctor if symptoms worsen","Nitrofurantoin;Ciprofloxacin;Trimethoprim;Cranberry extract;Phenazopyridine"
"burning urination,frequent urination,lower abdominal pain,back pain,fever","Urinary Tract Infection (UTI)","Drink plenty of water;Take prescribed antibiotics as directed;Avoid caffeine and alcohol;Maintain proper hygiene;Consult a doctor if symptoms worsen","Nitrofurantoin;Ciprofloxacin;Trimethoprim;Cranberry extract;Phenazopyridine"
"frequent urination,burning urination,cloudy urine,lower abdominal pain","Urinary Tract Infection (UTI)","Drink plenty of water;Take prescribed antibiotics as directed;Avoid caffeine and alcohol;Maintain proper hygiene;Consult a doctor if symptoms worsen","Nitrofurantoin;Ciprofloxacin;Trimethoprim;Cranberry extract;Phenazopyridine"
"burning urination,lower abdominal pain,fever","Urinary Tract Infection (UTI)","Drink plenty of water;Take prescribed antibiotics as directed;Avoid caffeine and alcohol;Maintain proper hygiene;Consult a doctor if symptoms worsen","Nitrofurantoin;Ciprofloxacin;Trimethoprim;Cranberry extract;Phenazopyridine"
"frequent urination,cloudy urine,back pain,burning urination","Urinary Tract Infection (UTI)","Drink plenty of water;Take prescribed antibiotics as directed;Avoid caffeine and alcohol;Maintain proper hygiene;Consult a doctor if symptoms worsen","Nitrofurantoin;Ciprofloxacin;Trimethoprim;Cranberry extract;Phenazopyridine"
"lower abdominal pain,burning urination,frequent urination,fever,cloudy urine","Urinary Tract Infection (UTI)","Drink plenty of water;Take prescribed antibiotics as directed;Avoid caffeine and alcohol;Maintain proper hygiene;Consult a doctor if symptoms worsen","Nitrofurantoin;Ciprofloxacin;Trimethoprim;Cranberry extract;Phenazopyridine"
"thirst,dry mouth,dizziness,fatigue,dark urine,headache","Dehydration","Drink water and electrolyte-rich fluids immediately;Avoid caffeinated and alcoholic beverages;Rest in a cool shaded area;Monitor urine color as a hydration indicator;Seek medical help if experiencing confusion or fainting","ORS;Electrolyte sachets;Pedialyte;Coconut water;IV fluids (severe cases)"
"thirst,dry mouth,dizziness,fatigue,dry skin,headache","Dehydration","Drink water and electrolyte-rich fluids immediately;Avoid caffeinated and alcoholic beverages;Rest in a cool shaded area;Monitor urine color as a hydration indicator;Seek medical help if experiencing confusion or fainting","ORS;Electrolyte sachets;Pedialyte;Coconut water;IV fluids (severe cases)"
"thirst,dry mouth,dark urine,fatigue,dizziness","Dehydration","Drink water and electrolyte-rich fluids immediately;Avoid caffeinated and alcoholic beverages;Rest in a cool shaded area;Monitor urine color as a hydration indicator;Seek medical help if experiencing confusion or fainting","ORS;Electrolyte sachets;Pedialyte;Coconut water;IV fluids (severe cases)"
"thirst,dry mouth,dizziness,fatigue","Dehydration","Drink water and electrolyte-rich fluids immediately;Avoid caffeinated and alcoholic beverages;Rest in a cool shaded area;Monitor urine color as a hydration indicator;Seek medical help if experiencing confusion or fainting","ORS;Electrolyte sachets;Pedialyte;Coconut water;IV fluids (severe cases)"
"dark urine,headache,dry mouth,fatigue","Dehydration","Drink water and electrolyte-rich fluids immediately;Avoid caffeinated and alcoholic beverages;Rest in a cool shaded area;Monitor urine color as a hydration indicator;Seek medical help if experiencing confusion or fainting","ORS;Electrolyte sachets;Pedialyte;Coconut water;IV fluids (severe cases)"
"dizziness,dry skin,thirst,dark urine,headache","Dehydration","Drink water and electrolyte-rich fluids immediately;Avoid caffeinated and alcoholic beverages;Rest in a cool shaded area;Monitor urine color as a hydration indicator;Seek medical help if experiencing confusion or fainting","ORS;Electrolyte sachets;Pedialyte;Coconut water;IV fluids (severe cases)"
"headache,dizziness,blurred vision,chest pain,shortness of breath","Hypertension Alert","Monitor blood pressure regularly;Reduce salt intake immediately;Take prescribed antihypertensive medication;Avoid stress and practice relaxation techniques;Seek emergency care if chest pain occurs","Amlodipine;Losartan;Metoprolol;Hydrochlorothiazide;Enalapril"
"headache,dizziness,blurred vision,chest pain,nosebleed","Hypertension Alert","Monitor blood pressure regularly;Reduce salt intake immediately;Take prescribed antihypertensive medication;Avoid stress and practice relaxation techniques;Seek emergency care if chest pain occurs","Amlodipine;Losartan;Metoprolol;Hydrochlorothiazide;Enalapril"
"headache,dizziness,chest pain,shortness of breath,nosebleed","Hypertension Alert","Monitor blood pressure regularly;Reduce salt intake immediately;Take prescribed antihypertensive medication;Avoid stress and practice relaxation techniques;Seek emergency care if chest pain occurs","Amlodipine;Losartan;Metoprolol;Hydrochlorothiazide;Enalapril"
"headache,dizziness,blurred vision,nosebleed","Hypertension Alert","Monitor blood pressure regularly;Reduce salt intake immediately;Take prescribed antihypertensive medication;Avoid stress and practice relaxation techniques;Seek emergency care if chest pain occurs","Amlodipine;Losartan;Metoprolol;Hydrochlorothiazide;Enalapril"
"chest pain,dizziness,shortness of breath,headache","Hypertension Alert","Monitor blood pressure regularly;Reduce salt intake immediately;Take prescribed antihypertensive medication;Avoid stress and practice relaxation techniques;Seek emergency care if chest pain occurs","Amlodipine;Losartan;Metoprolol;Hydrochlorothiazide;Enalapril"
"blurred vision,headache,nosebleed,dizziness,chest pain","Hypertension Alert","Monitor blood pressure regularly;Reduce salt intake immediately;Take prescribed antihypertensive medication;Avoid stress and practice relaxation techniques;Seek emergency care if chest pain occurs","Amlodipine;Losartan;Metoprolol;Hydrochlorothiazide;Enalapril"
"frequent urination,excessive thirst,blurred vision,fatigue,slow healing wounds","Diabetes Symptoms","Get blood sugar levels tested immediately;Follow a balanced low-sugar diet;Exercise regularly (30 min daily);Monitor blood glucose if diagnosed;Consult an endocrinologist for proper management","Metformin;Glimepiride;Insulin (if needed);Sitagliptin;Pioglitazone"
"frequent urination,excessive thirst,blurred vision,fatigue,weight loss","Diabetes Symptoms","Get blood sugar levels tested immediately;Follow a balanced low-sugar diet;Exercise regularly (30 min daily);Monitor blood glucose if diagnosed;Consult an endocrinologist for proper management","Metformin;Glimepiride;Insulin (if needed);Sitagliptin;Pioglitazone"
"excessive thirst,frequent urination,fatigue,blurred vision,slow healing wounds","Diabetes Symptoms","Get blood sugar levels tested immediately;Follow a balanced low-sugar diet;Exercise regularly (30 min daily);Monitor blood glucose if diagnosed;Consult an endocrinologist for proper management","Metformin;Glimepiride;Insulin (if needed);Sitagliptin;Pioglitazone"
"excessive thirst,frequent urination,fatigue,weight loss","Diabetes Symptoms","Get blood sugar levels tested immediately;Follow a balanced low-sugar diet;Exercise regularly (30 min daily);Monitor blood glucose if diagnosed;Consult an endocrinologist for proper management","Metformin;Glimepiride;Insulin (if needed);Sitagliptin;Pioglitazone"
"blurred vision,slow healing wounds,frequent urination,excessive thirst","Diabetes Symptoms","Get blood sugar levels tested immediately;Follow a balanced low-sugar diet;Exercise regularly (30 min daily);Monitor blood glucose if diagnosed;Consult an endocrinologist for proper management","Metformin;Glimepiride;Insulin (if needed);Sitagliptin;Pioglitazone"
"weight loss,fatigue,excessive thirst,frequent urination,blurred vision","Diabetes Symptoms","Get blood sugar levels tested immediately;Follow a balanced low-sugar diet;Exercise regularly (30 min daily);Monitor blood glucose if diagnosed;Consult an endocrinologist for proper management","Metformin;Glimepiride;Insulin (if needed);Sitagliptin;Pioglitazone"
"restlessness,rapid heartbeat,sweating,trembling,difficulty concentrating,insomnia","Anxiety Disorder","Practice deep breathing and meditation;Exercise regularly to reduce stress;Limit caffeine and alcohol intake;Maintain a consistent sleep schedule;Consider professional therapy or counseling","Alprazolam (short-term);Escitalopram;Sertraline;Propranolol;Buspirone"
"restlessness,rapid heartbeat,sweating,insomnia,irritability","Anxiety Disorder","Practice deep breathing and meditation;Exercise regularly to reduce stress;Limit caffeine and alcohol intake;Maintain a consistent sleep schedule;Consider professional therapy or counseling","Alprazolam (short-term);Escitalopram;Sertraline;Propranolol;Buspirone"
"restlessness,difficulty concentrating,trembling,rapid heartbeat,sweating","Anxiety Disorder","Practice deep breathing and meditation;Exercise regularly to reduce stress;Limit caffeine and alcohol intake;Maintain a consistent sleep schedule;Consider professional therapy or counseling","Alprazolam (short-term);Escitalopram;Sertraline;Propranolol;Buspirone"
"restlessness,rapid heartbeat,insomnia","Anxiety Disorder","Practice deep breathing and meditation;Exercise regularly to reduce stress;Limit caffeine and alcohol intake;Maintain a consistent sleep schedule;Consider professional therapy or counseling","Alprazolam (short-term);Escitalopram;Sertraline;Propranolol;Buspirone"
"sweating,trembling,difficulty concentrating,irritability","Anxiety Disorder","Practice deep breathing and meditation;Exercise regularly to reduce stress;Limit caffeine and alcohol intake;Maintain a consistent sleep schedule;Consider professional therapy or counseling","Alprazolam (short-term);Escitalopram;Sertraline;Propranolol;Buspirone"
"rapid heartbeat,restlessness,sweating,insomnia,trembling","Anxiety Disorder","Practice deep breathing and meditation;Exercise regularly to reduce stress;Limit caffeine and alcohol intake;Maintain a consistent sleep schedule;Consider professional therapy or counseling","Alprazolam (short-term);Escitalopram;Sertraline;Propranolol;Buspirone"
"nausea,vomiting,diarrhea,stomach cramps,fever,weakness","Food Poisoning","Stay hydrated with clear fluids and ORS;Avoid solid food until vomiting subsides;Rest and avoid strenuous activity;Gradually reintroduce bland foods;Seek medical help if bloody stools or high fever occur","ORS;Ondansetron;Loperamide;Activated charcoal;Probiotics"
"nausea,vomiting,stomach cramps,diarrhea,weakness","Food Poisoning","Stay hydrated with clear fluids and ORS;Avoid solid food until vomiting subsides;Rest and avoid strenuous activity;Gradually reintroduce bland foods;Seek medical help if bloody stools or high fever occur","ORS;Ondansetron;Loperamide;Activated charcoal;Probiotics"
"vomiting,diarrhea,stomach cramps,fever,nausea,weakness","Food Poisoning","Stay hydrated with clear fluids and ORS;Avoid solid food until vomiting subsides;Rest and avoid strenuous activity;Gradually reintroduce bland foods;Seek medical help if bloody stools or high fever occur","ORS;Ondansetron;Loperamide;Activated charcoal;Probiotics"
"nausea,vomiting,stomach cramps,weakness","Food Poisoning","Stay hydrated with clear fluids and ORS;Avoid solid food until vomiting subsides;Rest and avoid strenuous activity;Gradually reintroduce bland foods;Seek medical help if bloody stools or high fever occur","ORS;Ondansetron;Loperamide;Activated charcoal;Probiotics"
"diarrhea,stomach cramps,fever,vomiting,nausea","Food Poisoning","Stay hydrated with clear fluids and ORS;Avoid solid food until vomiting subsides;Rest and avoid strenuous activity;Gradually reintroduce bland foods;Seek medical help if bloody stools or high fever occur","ORS;Ondansetron;Loperamide;Activated charcoal;Probiotics"
"weakness,vomiting,nausea,diarrhea,fever","Food Poisoning","Stay hydrated with clear fluids and ORS;Avoid solid food until vomiting subsides;Rest and avoid strenuous activity;Gradually reintroduce bland foods;Seek medical help if bloody stools or high fever occur","ORS;Ondansetron;Loperamide;Activated charcoal;Probiotics"
"red eyes,itchy eyes,watery eyes,eye discharge,swollen eyelids","Conjunctivitis (Pink Eye)","Avoid touching or rubbing your eyes;Wash hands frequently;Use prescribed antibiotic eye drops;Do not share towels or eye makeup;Apply warm compresses for relief","Moxifloxacin eye drops;Tobramycin eye drops;Artificial tears;Olopatadine eye drops;Cold compress"
"red eyes,itchy eyes,watery eyes,eye discharge,sensitivity to light","Conjunctivitis (Pink Eye)","Avoid touching or rubbing your eyes;Wash hands frequently;Use prescribed antibiotic eye drops;Do not share towels or eye makeup;Apply warm compresses for relief","Moxifloxacin eye drops;Tobramycin eye drops;Artificial tears;Olopatadine eye drops;Cold compress"
"red eyes,itchy eyes,eye discharge,swollen eyelids,watery eyes","Conjunctivitis (Pink Eye)","Avoid touching or rubbing your eyes;Wash hands frequently;Use prescribed antibiotic eye drops;Do not share towels or eye makeup;Apply warm compresses for relief","Moxifloxacin eye drops;Tobramycin eye drops;Artificial tears;Olopatadine eye drops;Cold compress"
"red eyes,itchy eyes,eye discharge","Conjunctivitis (Pink Eye)","Avoid touching or rubbing your eyes;Wash hands frequently;Use prescribed antibiotic eye drops;Do not share towels or eye makeup;Apply warm compresses for relief","Moxifloxacin eye drops;Tobramycin eye drops;Artificial tears;Olopatadine eye drops;Cold compress"
"swollen eyelids,red eyes,watery eyes,sensitivity to light","Conjunctivitis (Pink Eye)","Avoid touching or rubbing your eyes;Wash hands frequently;Use prescribed antibiotic eye drops;Do not share towels or eye makeup;Apply warm compresses for relief","Moxifloxacin eye drops;Tobramycin eye drops;Artificial tears;Olopatadine eye drops;Cold compress"
"eye discharge,itchy eyes,red eyes,swollen eyelids,watery eyes","Conjunctivitis (Pink Eye)","Avoid touching or rubbing your eyes;Wash hands frequently;Use prescribed antibiotic eye drops;Do not share towels or eye makeup;Apply warm compresses for relief","Moxifloxacin eye drops;Tobramycin eye drops;Artificial tears;Olopatadine eye drops;Cold compress"
